arm,their_raw_beta,unit_beta,n_parsed,p_give_zero,p_give_zero_lo,p_give_zero_hi,p_give_half_or_more,p_half_lo,p_half_hi
decision,-5,-52.541542053222656,196,0.9846938775510204,0.9559725478082457,0.9947811202219781,0.01020408163265306,0.0028028021715693907,0.036435596450520386
decision,-4,-42.033233642578125,199,0.964824120603015,0.9291841127448238,0.9828582334004489,0.035175879396984924,0.017141766599551096,0.07081588725517601
decision,-3,-31.524925231933594,199,0.9748743718592965,0.9425410290380466,0.9892211516184753,0.02512562814070352,0.01077884838152465,0.05745897096195331
decision,-2,-21.016616821289062,198,0.9696969696969697,0.9354759842480324,0.9860393530126424,0.030303030303030304,0.013960646987357515,0.0645240157519677
decision,-1,-10.508308410644531,198,0.9747474747474747,0.942257630612138,0.9891664737158559,0.015151515151515152,0.005166028934011153,0.043592332603356806
decision,0,0.0,200,0.61,0.5409374595553039,0.6749165686397881,0.185,0.1373019279963936,0.2445706276267516
decision,1,10.508308410644531,197,0.07614213197969544,0.04668336108199541,0.1218150108224132,0.5431472081218274,0.47342507054821636,0.6112188077609155
decision,2,21.016616821289062,197,0.0,0.0,0.01912682194711674,0.5989847715736041,0.5292837968403754,0.664899218104104
decision,3,31.524925231933594,196,0.0,0.0,0.019222531926716645,0.47959183673469385,0.4107181183634573,0.5492501482457964
decision,4,42.033233642578125,193,0.0,0.0,0.019515496610707086,0.40932642487046633,0.34238239313634805,0.47980953630082696
decision,5,52.541542053222656,186,0.0,0.0,0.020235089038632324,0.3064516129032258,0.24467116584320758,0.37606499765561796
theirs,-5,-52.541542053222656,196,0.3112244897959184,0.25055873177209237,0.37914773436350474,0.42857142857142855,0.36131907714995115,0.49856985598243686
theirs,-4,-42.033233642578125,198,0.42424242424242425,0.35748699675517803,0.4938814972350357,0.3787878787878788,0.31413427909256364,0.44805531129177834
theirs,-3,-31.524925231933594,197,0.4263959390862944,0.35939273743033906,0.496214764277612,0.3248730964467005,0.2633665946572362,0.3930788404409924
theirs,-2,-21.016616821289062,199,0.6381909547738693,0.5693941907109157,0.7017535338187599,0.18592964824120603,0.13800862069114722,0.24574655083231706
theirs,-1,-10.508308410644531,196,0.6479591836734694,0.5788360471289051,0.7113940199540052,0.1683673469387755,0.12247197318497718,0.22701235921539606
theirs,0,0.0,200,0.61,0.5409374595553039,0.6749165686397881,0.185,0.1373019279963936,0.2445706276267516
theirs,1,10.508308410644531,196,0.336734693877551,0.27427508622913066,0.4054710466448993,0.42857142857142855,0.36131907714995115,0.49856985598243686
theirs,2,21.016616821289062,198,0.12626262626262627,0.08700516777916631,0.1797460692392215,0.6313131313131313,0.5622100047988785,0.6954179389514177
theirs,3,31.524925231933594,194,0.020618556701030927,0.008046662121998123,0.05180661076111993,0.8814432989690721,0.8283867210528925,0.9196870188035512
theirs,4,42.033233642578125,194,0.0,0.0,0.01941685451249947,0.8865979381443299,0.8342744853351992,0.9239083591138991
theirs,5,52.541542053222656,190,0.005263157894736842,0.0009296815653581057,0.02920555811959584,0.8894736842105263,0.8369463496759039,0.9265642063167919
shuffled-null,-5,-52.541542053222656,194,0.6597938144329897,0.5905999028240954,0.7227823395481987,0.24742268041237114,0.19199816108917667,0.31265571387074587
shuffled-null,-3,-31.524925231933594,198,0.8232323232323232,0.7640955836827151,0.8700655086257062,0.12626262626262627,0.08700516777916631,0.1797460692392215
shuffled-null,-1,-10.508308410644531,198,0.7171717171717171,0.6507690852119745,0.775307898682746,0.1414141414141414,0.09968595616249704,0.19679158205784802
shuffled-null,0,0.0,200,0.61,0.5409374595553039,0.6749165686397881,0.185,0.1373019279963936,0.2445706276267516
shuffled-null,1,10.508308410644531,198,0.3484848484848485,0.28557020746547296,0.41716678051495454,0.398989898989899,0.3333288554612496,0.4684958031923687
shuffled-null,3,31.524925231933594,196,0.08163265306122448,0.05087055144685187,0.1284789140428498,0.5408163265306123,0.4709359711597394,0.6091274956217532
shuffled-null,5,52.541542053222656,193,0.010362694300518135,0.002846439923733155,0.036989979037011095,0.8290155440414507,0.7696085530539746,0.8755807315597052
orthogonal-null,-5,-52.541542053222656,197,0.38071065989847713,0.31580048839328567,0.45018408334029025,0.3756345177664975,0.3109943296885934,0.44503213871449643
orthogonal-null,-1,-10.508308410644531,199,0.628140703517588,0.5591595996915233,0.6922682903269033,0.20100502512562815,0.15122757177524984,0.2621073515150881
orthogonal-null,1,10.508308410644531,199,0.5477386934673367,0.47833485710844353,0.6153343568199899,0.2914572864321608,0.23274467651172126,0.3580687573798589
orthogonal-null,5,52.541542053222656,189,0.20105820105820105,0.15013320565977276,0.263893214333181,0.5555555555555556,0.484307471003538,0.6245902739535238
