family,game_id,arm,k,unit_beta,raw_beta_equivalent,vector,vector_sha256_16,vector_layer_norm,rows_csv,n_rows
trust,altruism_v3/trust,decision,4,42.033233642578125,7.822675764449552,results/crossgame-decision-vectors/vectors/decision_trust_response_avg_diff_cellbalanced_strict.pt,69501e25e573e028,5.373255252838135,trust/decision/altruism_v3-trust_free_layer20_all_unit_coef42.0332.csv,100
trust,altruism_v3/trust,decision,-4,-42.033233642578125,-7.822675764449552,results/crossgame-decision-vectors/vectors/decision_trust_response_avg_diff_cellbalanced_strict.pt,69501e25e573e028,5.373255252838135,trust/decision/altruism_v3-trust_free_layer20_all_unit_coef-42.0332.csv,100
trust,altruism_v3/trust,decision,5,52.541542053222656,9.77834470556194,results/crossgame-decision-vectors/vectors/decision_trust_response_avg_diff_cellbalanced_strict.pt,69501e25e573e028,5.373255252838135,trust/decision/altruism_v3-trust_free_layer20_all_unit_coef52.5415.csv,100
trust,altruism_v3/trust,decision,-5,-52.541542053222656,-9.77834470556194,results/crossgame-decision-vectors/vectors/decision_trust_response_avg_diff_cellbalanced_strict.pt,69501e25e573e028,5.373255252838135,trust/decision/altruism_v3-trust_free_layer20_all_unit_coef-52.5415.csv,100
trust,altruism_v3/trust,shuffled-null,0,0.0,0.0,results/crossgame-per-game-steering/vectors/null_trust_response_avg_diff_cellbalanced_strict_seed20260821.pt,973b465d51dc43eb,1.5709186792373657,trust/shuffled-null/altruism_v3-trust_free_layer20_all_unit_coef0.csv,100
trust,altruism_v3/trust,shuffled-null,5,52.541542053222656,33.44637933691769,results/crossgame-per-game-steering/vectors/null_trust_response_avg_diff_cellbalanced_strict_seed20260821.pt,973b465d51dc43eb,1.5709186792373657,trust/shuffled-null/altruism_v3-trust_free_layer20_all_unit_coef52.5415.csv,100
trust,altruism_v3/trust,shuffled-null,-5,-52.541542053222656,-33.44637933691769,results/crossgame-per-game-steering/vectors/null_trust_response_avg_diff_cellbalanced_strict_seed20260821.pt,973b465d51dc43eb,1.5709186792373657,trust/shuffled-null/altruism_v3-trust_free_layer20_all_unit_coef-52.5415.csv,100
ultimatum,altruism_v3/ultimatum,decision,0,0.0,0.0,results/crossgame-decision-vectors/vectors/decision_ultimatum_response_avg_diff_cellbalanced_strict.pt,6b5a28aa4ee6756b,5.366468906402588,ultimatum/decision/altruism_v3-ultimatum_free_layer20_all_unit_coef0.csv,100
ultimatum,altruism_v3/ultimatum,decision,1,10.508308410644531,1.9581420472048863,results/crossgame-decision-vectors/vectors/decision_ultimatum_response_avg_diff_cellbalanced_strict.pt,6b5a28aa4ee6756b,5.366468906402588,ultimatum/decision/altruism_v3-ultimatum_free_layer20_all_unit_coef10.5083.csv,100
ultimatum,altruism_v3/ultimatum,decision,-1,-10.508308410644531,-1.9581420472048863,results/crossgame-decision-vectors/vectors/decision_ultimatum_response_avg_diff_cellbalanced_strict.pt,6b5a28aa4ee6756b,5.366468906402588,ultimatum/decision/altruism_v3-ultimatum_free_layer20_all_unit_coef-10.5083.csv,100
ultimatum,altruism_v3/ultimatum,decision,2,21.016616821289062,3.9162840944097725,results/crossgame-decision-vectors/vectors/decision_ultimatum_response_avg_diff_cellbalanced_strict.pt,6b5a28aa4ee6756b,5.366468906402588,ultimatum/decision/altruism_v3-ultimatum_free_layer20_all_unit_coef21.0166.csv,100
ultimatum,altruism_v3/ultimatum,decision,-2,-21.016616821289062,-3.9162840944097725,results/crossgame-decision-vectors/vectors/decision_ultimatum_response_avg_diff_cellbalanced_strict.pt,6b5a28aa4ee6756b,5.366468906402588,ultimatum/decision/altruism_v3-ultimatum_free_layer20_all_unit_coef-21.0166.csv,100
ultimatum,altruism_v3/ultimatum,decision,3,31.524925231933594,5.874426141614659,results/crossgame-decision-vectors/vectors/decision_ultimatum_response_avg_diff_cellbalanced_strict.pt,6b5a28aa4ee6756b,5.366468906402588,ultimatum/decision/altruism_v3-ultimatum_free_layer20_all_unit_coef31.5249.csv,100
ultimatum,altruism_v3/ultimatum,decision,-3,-31.524925231933594,-5.874426141614659,results/crossgame-decision-vectors/vectors/decision_ultimatum_response_avg_diff_cellbalanced_strict.pt,6b5a28aa4ee6756b,5.366468906402588,ultimatum/decision/altruism_v3-ultimatum_free_layer20_all_unit_coef-31.5249.csv,100
ultimatum,altruism_v3/ultimatum,decision,4,42.033233642578125,7.832568188819545,results/crossgame-decision-vectors/vectors/decision_ultimatum_response_avg_diff_cellbalanced_strict.pt,6b5a28aa4ee6756b,5.366468906402588,ultimatum/decision/altruism_v3-ultimatum_free_layer20_all_unit_coef42.0332.csv,100
ultimatum,altruism_v3/ultimatum,decision,-4,-42.033233642578125,-7.832568188819545,results/crossgame-decision-vectors/vectors/decision_ultimatum_response_avg_diff_cellbalanced_strict.pt,6b5a28aa4ee6756b,5.366468906402588,ultimatum/decision/altruism_v3-ultimatum_free_layer20_all_unit_coef-42.0332.csv,100
